Y,X,SiteName
6073569,298728,CC-Opening
6072223,302553,CC-Regulator
6073808,299424,CC-US of Narrows
6074149,296153,CCUS1
6068892,312259,Clayton 1
6069731,311417,Clayton 3A
6069844,311152,Clayton 3B
6069857,310934,Clayton 3C
6062368,311596,Coorong - Boundary Creek 1
6061753,316016,Coorong - Coorong Channel 1
6058785,321185,Coorong - Coorong Channel 2
6062546,314659,Coorong - Ewe Island 1
6062880,314880,Coorong - Ewe Island barrage
6059517,320048,Coorong - Tauwitchere 1
6060052,319466,Coorong - Tauwitchere 2
6069589,302418,Currency Ck - CC@GC
6073729,299331,Currency Ck  CC-292
6070631,302991,Currency Ck  CC-DS5
6070149,302789,Currency Ck  CC-DS6
6072704,299555,Currency Ck  DS1
6072604,300626,Currency Ck  DS2
6071732,302192,Currency Ck  DS4@TP surface water.
6069240,312400,Dunns Lagoon - DL Jetty
6069672,312378,Dunns Lagoon - DL1 Kayak
6069763,313633,Dunns Lagoon - DL10 Kayak
6069962,312643,Dunns Lagoon - DL2 Kayak
6070129,312679,Dunns Lagoon - DL3 Kayak
6070322,312696,Dunns Lagoon - DL4 Kayak
6070307,313298,Dunns Lagoon - DL5 Kayak
6070124,313303,Dunns Lagoon - DL6 Kayak
6069875,313306,Dunns Lagoon - DL7 Kayak
6069684,313297,Dunns Lagoon - DL8 Kayak
6069669,313450,Dunns Lagoon - DL9 Kayak
6070356,313310,Dunns Lagoon - DLT10
6070172,312474,Dunns Lagoon - DLT3
6070311,313321,Dunns Lagoon - DLT7
6077930,304044,Finniss River  FR-DS1
6079582,303113,Finniss River: Wally's Landing (FR-WL)
6071593,308604,FR@GC
6079269,303479,FR-DS of WL
6080680,302460,FRUS1
6066040,311149,Hindmarsh Island - Boggy Creek 1
6066040,311431,Hindmarsh Island - Boggy Creek 2
6065794,311056,Hindmarsh Island - Boggy Creek 3
6065312,311562,Hindmarsh Island - Boggy Creek 4
6066722,311341,Hindmarsh Island - Boggy Creek 5
6066862,311612,Hindmarsh Island - Boggy Creek 6
6066572,311305,Hindmarsh Island - Boggy Creek 7
6065664,311683,Hindmarsh Island - Estick Creek 2
6065584,311639,Hindmarsh Island - Estick Creek 3
6065584,311639,Hindmarsh Island - Estick Creek 4
6065433,311805,Hindmarsh Island - Estick Creek 5
6066444,308875,Hindmarsh Island - Hunters Creek 1
6066358,308613,Hindmarsh Island - Hunters Creek 2
6065999,308561,Hindmarsh Island - Hunters Creek 3
6065764,308062,Hindmarsh Island - Hunters Creek 4
6065530,308283,Hindmarsh Island - Hunters Creek 5
6065516,308304,Hindmarsh Island - Hunters Creek 6
6065312,311562,Hindmarsh Island - Mundoo Channel 1
6065450,312516,Hindmarsh Island - Mundoo Channel 2
6045987,342645,Lake Albert - Bascombe Bay 1
6045634,343356,Lake Albert - Bascombe Bay 2
6045437,343652,Lake Albert - Bascombe Bay 3
6046770,343509,Lake Albert - Bascombe Bay 4
6046873,342774,Lake Albert - Bascombe Bay 5
6045207,343911,Lake Albert - Bascombe Bay 6
6044966,342493,Lake Albert - Bascombe Bay 7
6044008,343149,Lake Albert - Bascombe Bay 8
6058338,343074,Lake Albert - Campbell Park
6054480,341340,Lake Albert - Campbell park (site 2)
6059211,352115,Lake Albert - Granite 2
6065904,339385,Lake Albert - Juron Swamp 1
6065896,339448,Lake Albert - Juron Swamp 2
6065813,339571,Lake Albert - Juron Swamp 3
6065696,339676,Lake Albert - Juron Swamp 4
6050440,349381,Lake Albert - Meningie
6067073,340402,Lake Albert - Narrows 1
6067681,337800,Lake Albert - Narrows 10
6067277,337712,Lake Albert - Narrows 11
6067250,337696,Lake Albert - Narrows 12
6067237,339426,Lake Albert - Narrows 13
6067443,339848,Lake Albert - Narrows 14
6067057,340507,Lake Albert - Narrows 15
6067057,340507,Lake Albert - Narrows 15
6066133,341339,Lake Albert - Narrows 16
6065867,342151,Lake Albert - Narrows 17
6065528,341872,Lake Albert - Narrows 18
6065253,34228,Lake Albert - Narrows 19
6065480,341273,Lake Albert - Narrows 2
6065411,341156,Lake Albert - Narrows 3
6065007,341414,Lake Albert - Narrows 4
6064672,341704,Lake Albert - Narrows 5
6068576,335711,Lake Albert - Narrows 6
6068349,335722,Lake Albert - Narrows 7
6067746,336596,Lake Albert - Narrows 8
6068173,337949,Lake Albert - Narrows 9
6068932,335568,Lake Albert - Narrung
6068443,334659,Lake Albert - Narrung Narrows Swamp 1
6068390,334710,Lake Albert - Narrung Narrows Swamp 2
6068388,334606,Lake Albert - Narrung Narrows Swamp 3
6068550,334602,Lake Albert - Narrung Swamp 1
6063658,344391,Lake Albert - Opening
6061262,340998,Lake Albert - Reedy Point 1
6061634,341267,Lake Albert - Reedy Point 2
6061915,341766,Lake Albert - Reedy Point 3
6062789,341568,Lake Albert - Reedy Point 4
6060739,340727,Lake Albert - Reedy Point 5
6061171,340949,Lake Albert - Reedy Point 6
6060723,341043,Lake Albert - Reedy Point 7
6060938,340832,Lake Albert - Reedy Point A
6060998,340889,Lake Albert - Reedy Point B
6061089,340923,Lake Albert - Reedy Point C
6061186,340956,Lake Albert - Reedy Point D
6061388,340755,Lake Albert - Reedy Point E
6061576,340903,Lake Albert - Reedy Point F
6061026,341199,Lake Albert - Reedy Point G
6061426,341358,Lake Albert - Reedy Point H
6060724,340726,Lake Albert - Reedy Point I
6060867,340860,Lake Albert - Reedy Point Pool
6060041,341452,Lake Albert - Reedy Point South 1
6058283,340427,Lake Albert - Reedy Point South 2
6057730,339652,Lake Albert - Reedy Point South 3
6057730,339652,Lake Albert - Reedy Point South 3
6057405,339404,Lake Albert - Reedy Point South 4
6058123,340382,Lake Albert - Reedy Point South Scum
6056795,343040,Lake Albert - Rumply Point
6056402,339337,Lake Albert - Rumply Point North 1
6056533,339890,Lake Albert - Rumply Point North 2
6056419,338732,Lake Albert - Rumply Point North 3
6056958,339499,Lake Albert - Rumply Point North A
6056393,339133,Lake Albert - Rumply Point Pool
6056391,338637,Lake Albert - Rumply Point Pool 1
6056242,339034,Lake Albert - Rumply Point Pool 2
6054015,340567,Lake Albert - Rumply Point South 1
6053047,339093,Lake Albert - Rumply Point South 2
6052625,338162,Lake Albert - Rumply Point South 3
6051410,339346,Lake Albert - Rumply Point South West Pool 1
6049655,339532,Lake Albert - Rumply Point South West Pool 2
6049694,339516,Lake Albert - Rumply Point South West Pool 2 (A)
6049583,339266,Lake Albert - Rumply Point South West Pool 2 (B)
6049390,339539,Lake Albert - Rumply Point South West Pool 2 (C)
6049927,339348,Lake Albert - Rumply Point South West Pool 2 (D)
6050496,341650,Lake Albert - South West
6067203,328292,Lake Albert - Teringie Swamp 1
6059076,352521,Lake Albert - Waltowa
6059168,352387,Lake Albert - Waltowa  WT2 - pore
6059166,352387,Lake Albert - Waltowa  WT3 - pore
6059077,352241,Lake Albert - Waltowa  WT6 - pore
6059076,352521,Lake Albert - Waltowa 2
6048551,339913,Lake Albert - Waringie Point
6058801,349307,Lake Albert - Water Level Recorder
6049310,349127,Lake Albert: golf course irrigation pipe tap.
6050440,349381,Lake Albert: Meningie
6048120,341880,Lake Albert: South West
6060192,348031,Lake Albert: Water Level Recorder
6089677,335414,Lake Alexandrina - Boggy Lake 1
6090759,335513,Lake Alexandrina - Boggy Lake 10
6090392,335889,Lake Alexandrina - Boggy Lake 11
6090825,336990,Lake Alexandrina - Boggy Lake 12
6090612,337705,Lake Alexandrina - Boggy Lake 13
6089784,337935,Lake Alexandrina - Boggy Lake 14
6089992,337932,Lake Alexandrina - Boggy Lake 15
6090198,337925,Lake Alexandrina - Boggy Lake 16
6090407,337944,Lake Alexandrina - Boggy Lake 17
6090420,337644,Lake Alexandrina - Boggy Lake 18
6090213,337629,Lake Alexandrina - Boggy Lake 19
6089950,334979,Lake Alexandrina - Boggy Lake 2
6089961,337589,Lake Alexandrina - Boggy Lake 20
6090018,337179,Lake Alexandrina - Boggy Lake 21
6090323,337111,Lake Alexandrina - Boggy Lake 22
6090594,337070,Lake Alexandrina - Boggy Lake 23
6090538,336497,Lake Alexandrina - Boggy Lake 24
6090343,336480,Lake Alexandrina - Boggy Lake 25
6089728,334593,Lake Alexandrina - Boggy Lake 26
6090547,335039,Lake Alexandrina - Boggy Lake 27
6090199,335487,Lake Alexandrina - Boggy Lake 28
6089498,335209,Lake Alexandrina - Boggy Lake 29
6090395,335053,Lake Alexandrina - Boggy Lake 3
6090634,334657,Lake Alexandrina - Boggy Lake 30
6089738,334107,Lake Alexandrina - Boggy Lake 31
6090142,338173,Lake Alexandrina - Boggy Lake 32
6089774,333481,Lake Alexandrina - Boggy Lake 33
6089220,339418,Lake Alexandrina - Boggy Lake 34
6089733,338892,Lake Alexandrina - Boggy Lake 35
6090400,337095,Lake Alexandrina - Boggy Lake 36
6090400,337095,Lake Alexandrina - Boggy Lake 36
6090421,335575,Lake Alexandrina - Boggy Lake 37
6089597,336788,Lake Alexandrina - Boggy Lake 38
6089609,337190,Lake Alexandrina - Boggy Lake 39
6089932,335834,Lake Alexandrina - Boggy Lake 4
6089392,333218,Lake Alexandrina - Boggy Lake 40
6090247,333880,Lake Alexandrina - Boggy Lake 41
6089207,332699,Lake Alexandrina - Boggy Lake 42
6089423,333560,Lake Alexandrina - Boggy Lake 43
6089098,332548,Lake Alexandrina - Boggy Lake 44
6089630,335649,Lake Alexandrina - Boggy Lake 5
6089468,335597,Lake Alexandrina - Boggy Lake 6
6090148,336425,Lake Alexandrina - Boggy Lake 7
6090909,336492,Lake Alexandrina - Boggy Lake 8
6090954,335891,Lake Alexandrina - Boggy Lake 9
6086815,332668,Lake Alexandrina - Dog Lake  1
6085377,330866,Lake Alexandrina - Dog Lake 10
6084613,333461,Lake Alexandrina - Dog Lake 11
6086755,332164,Lake Alexandrina - Dog Lake 1b
6086974,332964,Lake Alexandrina - Dog Lake 2
6087195,333613,Lake Alexandrina - Dog Lake 3
6087341,333754,Lake Alexandrina - Dog Lake 4
6085228,333928,Lake Alexandrina - Dog Lake 5
6087976,334326,Lake Alexandrina - Dog Lake 6
6086323,331500,Lake Alexandrina - Dog Lake 7
6086742,331855,Lake Alexandrina - Dog Lake 8
6084731,333974,Lake Alexandrina - Dog Lake 9
6077054,351411,Lake Alexandrina - Eckerts Road
6087523,351511,Lake Alexandrina - McHughes Bay 1
6087512,352082,Lake Alexandrina - McHughes Bay 2
6087642,352294,Lake Alexandrina - McHughes Bay 3
6087419,352991,Lake Alexandrina - McHughes Bay 4
6085401,355406,Lake Alexandrina - Wellington Upstream
6087014,340441,Lake Alexandrina @ Mulgundawa Recorder
6065860,303000,Lake Alexandrina: Beacon 19
6071418,331095,Lake Alexandrina: Beacon 97
6069474,311714,Lake Alexandrina: Clayton (east of regulator)
6069720,311377,Lake Alexandrina: Clayton (west of regulator)
6073082,301314,Lake Alexandrina: Currency 1
6071434,301809,Lake Alexandrina: Currency 2
6069803,302660,Lake Alexandrina: Currency 3
6062365,315939,Lake Alexandrina: Ewe Island Barrage site 1
6062708,316529,Lake Alexandrina: Ewe Island Barrage site 2
6062862,316350,Lake Alexandrina: Ewe Island Barrage site 3
6076270,306660,Lake Alexandrina: Finniss 1
6073399,308064,Lake Alexandrina: Finniss 2
6070539,309297,Lake Alexandrina: Finniss 3
6065900,301200,Lake Alexandrina: Goolwa Barrage (Downstream)
6066341,301314,Lake Alexandrina: Goolwa Barrage (Upstream)
6065055,322555,Lake Alexandrina: Islands
6077943,333094,Lake Alexandrina: Middle
6079754,316285,Lake Alexandrina: Milang
6079478,318228,Lake Alexandrina: Milang B
6080255,317924,Lake Alexandrina: Milang D
6069921,335173,Lake Alexandrina: Narrung
6067057,324305,Lake Alexandrina: Off Point McLeay
6071801,326588,Lake Alexandrina: off Point Sturt
6067122,316257,Lake Alexandrina: off Rat Island
6067122,316257,Lake Alexandrina: off Rat Island (200 m SE)
6079701,348601,Lake Alexandrina: Opening
6073293,315331,Lake Alexandrina: Point Sturt 1
6074075,316280,Lake Alexandrina: Point Sturt 2
6074513,317131,Lake Alexandrina: Point Sturt 3
6074921,317360,Lake Alexandrina: Point Sturt 4
6075127,317138,Lake Alexandrina: Point Sturt 5
6074916,316419,Lake Alexandrina: Point Sturt 6
6074735,316144,Lake Alexandrina: Point Sturt 7
6074895,315695,Lake Alexandrina: Point Sturt 8
6071375,342309,Lake Alexandrina: Poltalloch
6062428,321062,Lake Alexandrina: Tauwitcherie Barrage site 1
6061452,320804,Lake Alexandrina: Tauwitcherie Barrage site 2
6060633,320180,Lake Alexandrina: Tauwitcherie Barrage site 3
6060842,318998,Lake Alexandrina: Tauwitcherie Barrage site 4
6087104,339372,Lake Alexandrina: Top
6087724,339310,Lake Alexandrina: Top A
6089972,339144,Lake Alexandrina: Top E
6086307,339412,Lake Alexandrina: Top G
6073082,301314,Lake Alexandrina: Upper Currency
6073082,301314,Lake Alexandrina: Upper Finniss
6091052,352803,Lake Alexandrina: Wellington
6061508,325894,Loveday Bay - LA Nth
6061643,325895,Loveday Bay - LA Sth
6061448,326752,Loveday Bay - LB1
6061795,325627,Loveday Bay - LB10
6060210,326295,Loveday Bay - LB11
6060076,327212,Loveday Bay - LB12
6060869,326771,Loveday Bay - LB2
6060869,326771,Loveday Bay - LB2
6060869,326771,Loveday Bay - LB3
6060076,327734,Loveday Bay - LB4
6061448,326752,Loveday Bay - LB5
6060643,326479,Loveday Bay - LB6
6060979,326006,Loveday Bay - LB7
6061530,326254,Loveday Bay - LB8
6062017,325797,Loveday Bay - LB9
6060247,325883,Loveday Bay - Salt Lagoon - SL1
6058687,323910,Loveday Bay - Salt Lagoon - SL10
6058148,323554,Loveday Bay - Salt Lagoon - SL11
6058164,323636,Loveday Bay - Salt Lagoon - SL12
6058115,323449,Loveday Bay - Salt Lagoon - SL13
6058115,323364,Loveday Bay - Salt Lagoon - SL14
6058263,325986,Loveday Bay - Salt Lagoon - SL15
6058219,326025,Loveday Bay - Salt Lagoon - SL16
6058322,325914,Loveday Bay - Salt Lagoon - SL17
6060184,325774,Loveday Bay - Salt Lagoon - SL2
6060249,326106,Loveday Bay - Salt Lagoon - SL3
6058653,324117,Loveday Bay - Salt Lagoon - SL4
6058300,326015,Loveday Bay - Salt Lagoon - SL5
6058268,326056,Loveday Bay - Salt Lagoon - SL6
6058614,324163,Loveday Bay - Salt Lagoon - SL7
6058554,324329,Loveday Bay - Salt Lagoon - SL8
6058354,325989,Loveday Bay - Salt Lagoon - SL9
6062941,305055,Murray Mouth
6067089,296431,Murray Mouth - Goolwa Beach 1
6065622,301216,Murray Mouth - Goolwa Beach 2
6063288,306808,Murray Mouth - Goolwa Beach 3
6060021,306691,Murray Mouth - S Ocean 1
6053749,301996,Murray Mouth - S Ocean 2
6044795,305636,Murray Mouth - S Ocean 3
6049466,328910,Murray Mouth - Young Husband 1
6056970,318310,Murray Mouth - Young Husband 2
6061817,309965,Murray Mouth - Young Husband 3
6048965,349280,"Rainwater - Yule Street, Meningie"
6063700,313960,Tauwitchere -  Boundary Creek (upstream of barrage)
6059672,320978,Tauwitchere - Barrage (East)
6060271,319660,Tauwitchere - Barrage (Upstream)
6061108,319046,Tauwitchere - Bogon Island East
6064422,315508,Tauwitchere - Boundary Creek North
6066229,317456,Tauwitchere - Long Island North
6062433,319526,Tauwitchere - Mud Island 1
6065334,319344,Tauwitchere - Mud Island 2
6066293,313346,Tauwitchere - Mundoo Channel North
